name_cs,name_en,id,address
Česká republika - Ministerstvo životního prostředí,,00164801,Vršovická 1442/65 Praha 10010 Czech Republic
Město Moravský Krumlov,,00293199,Nám. Klášterní 125 Moravský Krumlov 67201 Czech Republic
Kamil M,,67416501,Pernerova 536/6 Praha 18600 Czech Republic
"Sivio Plan, s.r.o.",,27738809,Sochorova 3178/23 Brno 61600 Czech Republic
